Periodo;AbreviaEmpresa;IdInterrupcion;NroInterrupcion;UUNN;EE;TipoMed;NaturalezaInterrupcion;ResponsabilidadInterrupcion;ResponsableInterrupcion;PropiedadDeLaInstCausante;CausaInterrupcion;SolicitoFM;IniciaTramiteFM;EstadoFM;Motivo;TipoProgramada;ClasificacionMotivo;Submotivo;SaidiUUNN;Cumple;Fecha
202205;ENOSA;3325787;150096695;Sullana;A1017  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.044851007;0;31/05/2022
202205;ENOSA;3325788;10230953;Piura;E101851;Subestacion de Distribucion;Programado Mantenimiento;Distribucion;Propia;Propia;Por mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Interno;Cambio de Tablero y/o  Transformador de Distribucion  ;0.000591843;0;31/05/2022
202205;ENOSA;3325789;10230954;Piura;E101379;Subestacion de Distribucion;Programado Mantenimiento;Distribucion;Propia;Propia;Por mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Interno;Cambio de Tablero y/o  Transformador de Distribucion  ;0.001122036;0;31/05/2022
202205;ENOSA;3325790;10230955;Piura;E102369;Subestacion de Distribucion;Programado Mantenimiento;Distribucion;Propia;Propia;Por mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Interno;Cambio de Tablero y/o  Transformador de Distribucion  ;0.002410864;0;31/05/2022
202205;ENOSA;3325793;10230956;Piura;E101751;Subestacion de Distribucion;Programado Mantenimiento;Distribucion;Propia;Propia;Por mantenimiento;0;0;Sin Tramite;Mantenimiento preventivo;Programada por mantenimiento;Interno;Cambio de Tablero y/o  Transformador de Distribucion  ;0.000790245;0;31/05/2022
202205;ENOSA;3325814;150096696;Sullana;I151086;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.000021586;0;31/05/2022
202205;ENOSA;3325835;200027122;Bajo Piura;A1078  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;No Procede;Otros y/o terceros;NULL;Interno;Otros;0.000432349;0;31/05/2022
202205;ENOSA;3326295;200027123;Bajo Piura;I170087;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.00595152;0;31/05/2022
202205;ENOSA;3326359;70080884;Talara;I130202;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;Procede;Otros y/o terceros;NULL;Interno;Otros;0.074673426;0;31/05/2022
202205;ENOSA;3326608;10230971;Piura;A1133  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Aves;1;1;Procede;Otros y/o terceros;NULL;Interno;Aves;0.004468685;0;31/05/2022
202205;ENOSA;3326617;200027126;Bajo Piura;I179978;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.009307001;0;31/05/2022
202205;ENOSA;3326730;10230972;Piura;A1126  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.000031177;0;31/05/2022
202205;ENOSA;3327059;150096733;Sullana;I151134;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;Sobrecarga;0.000122913;0;31/05/2022
202205;ENOSA;3327152;10230980;Piura;E101298;Subestacion de Distribucion;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.002427679;0;31/05/2022
202205;ENOSA;3327185;10230981;Piura;I100476;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.000033067;0;31/05/2022
202205;ENOSA;3327346;30084582;Tumbes;I120036;Seccion de Linea o Alimentador;No Programado, Operacion;Distribucion;Propia;Propia;Corte de emergencia (No incluidos en PM y PE);0;0;Sin Tramite;Por maniobra sin aviso, corta;NULL;Interno;Seguridad;0.000397946;0;31/05/2022
202205;ENOSA;3327391;120034323;Alto Piura;A1406  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.001063414;0;31/05/2022
202205;ENOSA;3327396;120034324;Alto Piura;I140020;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.000027874;0;31/05/2022
